Title,Content,Combined_Text,Cluster_Labels,topic,sentiment_score,sentiment_category
UN: Many displaced Gazans 'living in the open',southern city rafah saw influx people seeking shelter recent day official say,UN: Many displaced Gazans 'living in the open' southern city rafah saw influx people seeking shelter recent day official say,0,Global Conflicts,0.0,Neutral
Young Gazans hope for peace in new year,young palestinian tell bbc want return peace normality,Young Gazans hope for peace in new year young palestinian tell bbc want return peace normality,2,Politics,0.8807,Positive
"Spanish fan held in Tehran released, Iran says",santiago nchez detained trek men football world cup qatar,"Spanish fan held in Tehran released, Iran says santiago nchez detained trek men football world cup qatar",4,Entertainment,-0.1027,Negative
US destroys Houthi boats after Red Sea hijack attempt,u military say responded vessel came attack near yemen twice hour,US destroys Houthi boats after Red Sea hijack attempt u military say responded vessel came attack near yemen twice hour,0,Global Conflicts,-0.7717,Negative
US police say missing Chinese student may be 'camping',police utah initially feared missing chinese student kai zhuang kidnapped,US police say missing Chinese student may be 'camping' police utah initially feared missing chinese student kai zhuang kidnapped,0,Global Conflicts,-0.765,Negative
Nigel Lythgoe denies abusing Paula Abdul - US media,american singer alleges multiple instance assault pair worked together mr lythgoe denies,Nigel Lythgoe denies abusing Paula Abdul - US media american singer alleges multiple instance assault pair worked together mr lythgoe denies,2,Politics,-0.9081,Negative
Maine becomes second state to ban Trump from ballot,decision increase pressure supreme court rule eligibility run presidency,Maine becomes second state to ban Trump from ballot decision increase pressure supreme court rule eligibility run presidency,2,Politics,0.0258,Positive
Top Maine election official defends Trump decision,secretary state shenna bellow say sacred obligation follow evidence case,Top Maine election official defends Trump decision secretary state shenna bellow say sacred obligation follow evidence case,2,Politics,0.2023,Positive
Surfers take on giant waves as storm hits California,wave tall ft surfed notorious break known maverick,Surfers take on giant waves as storm hits California wave tall ft surfed notorious break known maverick,4,Entertainment,-0.4404,Negative
The worshippers caught between China and Taiwan,many taiwanese follow religion deep tie china delight beijing worry taipei,The worshippers caught between China and Taiwan many taiwanese follow religion deep tie china delight beijing worry taipei,4,Entertainment,0.4215,Positive
China appoints Dong Jun as new defence minister,dong jun replaces li shangfu last seen public august,China appoints Dong Jun as new defence minister dong jun replaces li shangfu last seen public august,2,Politics,0.1027,Positive
China denies pressuring Taiwan rock stars,report allege beijing asked mayday make pro china comment threatened band refused,China denies pressuring Taiwan rock stars report allege beijing asked mayday make pro china comment threatened band refused,2,Politics,-0.8555,Negative
Hong Kong democracy activist flees to UK to seek asylum,tony chung told bbc felt control life police scrutinising every move,Hong Kong democracy activist flees to UK to seek asylum tony chung told bbc felt control life police scrutinising every move,2,Politics,-0.1779,Negative
China is ramping up the pressure for Taiwan's election,beijing using aggression propaganda sway could pivotal race cross strait tie,China is ramping up the pressure for Taiwan's election beijing using aggression propaganda sway could pivotal race cross strait tie,2,Politics,-0.6597,Negative
Three HK activists jailed for 'terrorism' bomb plot,part pro independence group planned place bomb various public building,Three HK activists jailed for 'terrorism' bomb plot part pro independence group planned place bomb various public building,0,Global Conflicts,-0.8625,Negative
How a Pakistani cricket show charmed Indians,show featuring top pakistani cricketer thousand fan across border india,How a Pakistani cricket show charmed Indians show featuring top pakistani cricketer thousand fan across border india,4,Entertainment,0.7269,Positive
Indian wrestler returns medals to highlight harassment claims,vinesh phogat top wrestler accused powerful politician sexual exploitation,Indian wrestler returns medals to highlight harassment claims vinesh phogat top wrestler accused powerful politician sexual exploitation,2,Politics,0.0772,Positive
'Like a wow!' and other Indian 2023 social media hits,making history oscar landing moon viral moment indian talking,'Like a wow!' and other Indian 2023 social media hits making history oscar landing moon viral moment indian talking,4,Entertainment,0.4199,Positive
Watch: Plane gets jammed under bridge in India,scrap fuselage way assam mumbai lorry got stuck,Watch: Plane gets jammed under bridge in India scrap fuselage way assam mumbai lorry got stuck,0,Global Conflicts,-0.25,Negative
The year India reached the Moon - and aimed for the Sun,chandrayaan aditya l gaganyaan india space agency isro spectacular year,The year India reached the Moon - and aimed for the Sun chandrayaan aditya l gaganyaan india space agency isro spectacular year,3,Business,0.1027,Positive
Qatar commutes India ex-navy officers' death penalty,report said eight indian arrested last year charged spying israel,Qatar commutes India ex-navy officers' death penalty report said eight indian arrested last year charged spying israel,0,Global Conflicts,-0.8957,Negative
Brit in Japan describes house shaking in quake,joseph tame say could feel tremor despite living hundred mile away tokyo,Brit in Japan describes house shaking in quake joseph tame say could feel tremor despite living hundred mile away tokyo,0,Global Conflicts,-0.1779,Negative
Murder arrest as two women found dead,woman aged discovered house staffordshire new year eve,Murder arrest as two women found dead woman aged discovered house staffordshire new year eve,0,Global Conflicts,-0.9081,Negative
King and Queen attend church service,charles camilla wave onlooker visit st mary magdalene church sandringham,King and Queen attend church service charles camilla wave onlooker visit st mary magdalene church sandringham,1,Cultural,0.0,Neutral
New Year's Eve taxis become trapped in floodwater,people rescued two car become submerged notorious flooding hotspot,New Year's Eve taxis become trapped in floodwater people rescued two car become submerged notorious flooding hotspot,0,Global Conflicts,-0.5423,Negative
Homes evacuated in Newry security alert,police army technical expert scene drumgullion avenue area city,Homes evacuated in Newry security alert police army technical expert scene drumgullion avenue area city,0,Global Conflicts,0.5574,Positive
NI's road death figures for 2023 'simply horrific',northern ireland record highest annual number motoring fatality eight year,NI's road death figures for 2023 'simply horrific' northern ireland record highest annual number motoring fatality eight year,3,Business,-0.926,Negative
'Topping the charts has turned my life upside down',genre bending pianist jamie duffy nearly one million monthly spotify listener globally,'Topping the charts has turned my life upside down' genre bending pianist jamie duffy nearly one million monthly spotify listener globally,4,Entertainment,0.0,Neutral
Fire at former Dublin pub was arson,ringsend building due used emergency accommodation homeless family,Fire at former Dublin pub was arson ringsend building due used emergency accommodation homeless family,0,Global Conflicts,-0.6124,Negative
Ulster hang on for famous away win against Leinster,ulster beat leinster pulsating united rugby championship contest rds,Ulster hang on for famous away win against Leinster ulster beat leinster pulsating united rugby championship contest rds,4,Entertainment,0.8591,Positive
The café bringing Parkinson's patients together,people like denis brown session allow people get together laugh,The café bringing Parkinson's patients together people like denis brown session allow people get together laugh,4,Entertainment,0.7906,Positive
Teen darts player in World semis after Dolan defeat,luke littler make pdc world dart championship semi win fermanagh player,Teen darts player in World semis after Dolan defeat luke littler make pdc world dart championship semi win fermanagh player,4,Entertainment,0.5719,Positive
We're a scapegoat for PPE failures - Mone's husband,doug barrowman say family treated punchbag lamentable failure minister,We're a scapegoat for PPE failures - Mone's husband doug barrowman say family treated punchbag lamentable failure minister,2,Politics,-0.8885,Negative
Man dies in shooting outside pub before bells,another man hospital police described targeted attack edinburgh bar,Man dies in shooting outside pub before bells another man hospital police described targeted attack edinburgh bar,0,Global Conflicts,-0.4767,Negative
Ex-adviser: SNP faces biggest challenge in 20 years,nicola sturgeon ex chief staff say party need get act together general election,Ex-adviser: SNP faces biggest challenge in 20 years nicola sturgeon ex chief staff say party need get act together general election,2,Politics,0.4588,Positive
Loony Dookers brave icy Forth for New Year plunge,swimmer continued traditional dip firth forth kick,Loony Dookers brave icy Forth for New Year plunge swimmer continued traditional dip firth forth kick,4,Entertainment,0.5267,Positive
Footballer's family call for pancreatic cancer awareness,former celtic st mirren player frank mcgarvey died three month diagnosed disease,Footballer's family call for pancreatic cancer awareness former celtic st mirren player frank mcgarvey died three month diagnosed disease,4,Entertainment,-0.8402,Negative
Scotland sees in 2024 with fireworks and song,ten thousand watch firework explode edinburgh skyline new year begin,Scotland sees in 2024 with fireworks and song ten thousand watch firework explode edinburgh skyline new year begin,4,Entertainment,0.0,Neutral
Murray loses to Dimitrov in Brisbane first round,andy murray make first round exit brisbane international grigor dimitrov come behind win three set,Murray loses to Dimitrov in Brisbane first round andy murray make first round exit brisbane international grigor dimitrov come behind win three set,4,Entertainment,0.3612,Positive
Social services face cuts over £646m budget gap,council warn without extra funding cut made support community,Social services face cuts over £646m budget gap council warn without extra funding cut made support community,3,Business,0.2297,Positive
Major esports event could be hosted in Wales,fan organiser say wale could host major competitive gaming event,Major esports event could be hosted in Wales fan organiser say wale could host major competitive gaming event,4,Entertainment,0.4588,Positive
Heavy rain and wind warnings for most of Wales,met office weather warning wind rain issued across country,Heavy rain and wind warnings for most of Wales met office weather warning wind rain issued across country,0,Global Conflicts,-0.5574,Negative
Murder probe after man found outside hospital,investigation launched year old found seriously injured outside hospital,Murder probe after man found outside hospital investigation launched year old found seriously injured outside hospital,0,Global Conflicts,-0.8225,Negative
Taylor Swift leads Wales' 2024 summer of live music,world biggest artist making wale must visit gig destination summer,Taylor Swift leads Wales' 2024 summer of live music world biggest artist making wale must visit gig destination summer,4,Entertainment,0.2023,Positive
Men sought after firework thrown in boy's face,image two people officer want speak released following bonfire night incident,Men sought after firework thrown in boy's face image two people officer want speak released following bonfire night incident,0,Global Conflicts,0.0772,Positive
Comedy duo's lifelong serial killer fascination,kiri pritchard mclean rachel fairburn share interested thing strange macabre,Comedy duo's lifelong serial killer fascination kiri pritchard mclean rachel fairburn share interested thing strange macabre,1,Cultural,0.5423,Positive
Re-examining the baffling death of an MI6 genius,dig deeper story gareth williams whose body found inside bag bath,Re-examining the baffling death of an MI6 genius dig deeper story gareth williams whose body found inside bag bath,4,Entertainment,-0.5994,Negative
How do pensions work?,martin lewis answer personal finance question,How do pensions work? martin lewis answer personal finance question,2,Politics,0.0,Neutral
Steven Spielberg on his jaw-dropping career...,legendary film director share soundtrack life lauren laverne,Steven Spielberg on his jaw-dropping career... legendary film director share soundtrack life lauren laverne,1,Cultural,0.296,Positive
'Can I borrow your bike?',watch policeman borrows member public bike chase drug dealer,'Can I borrow your bike?' watch policeman borrows member public bike chase drug dealer,3,Business,0.0,Neutral
How to get into cycling,road track bmx mountain many many way reason start cycling,How to get into cycling road track bmx mountain many many way reason start cycling,4,Entertainment,0.0,Neutral
How to improve your cycling warm-up,got big cycling race coming make sure make warm minute guide,How to improve your cycling warm-up got big cycling race coming make sure make warm minute guide,4,Entertainment,0.7269,Positive
"January 1, 2024 Israel-Hamas war",live coverage israel war hamas moved,"January 1, 2024 Israel-Hamas war live coverage israel war hamas moved",0,Global Conflicts,-0.8316,Negative
Multiple dead in powerful Japan earthquake,death toll risen least people magnitude earthquake struck west coast japan monday according local authority,Multiple dead in powerful Japan earthquake death toll risen least people magnitude earthquake struck west coast japan monday according local authority,0,Global Conflicts,-0.7964,Negative
Israel to pull some troops from Gaza in war against Hamas,israel defense force anticipates warfare gaza last throughout year begin reduce number soldier territory prepares new phase conflict military spokesman said,Israel to pull some troops from Gaza in war against Hamas israel defense force anticipates warfare gaza last throughout year begin reduce number soldier territory prepares new phase conflict military spokesman said,0,Global Conflicts,-0.765,Negative
Where to go in 2024: The best places to visit,many place see world many people eager see,Where to go in 2024: The best places to visit many place see world many people eager see,4,Entertainment,0.7717,Positive
This country has more of the world’s 50 best restaurants than any other,far guessed italy france country year world best restaurant,This country has more of the world’s 50 best restaurants than any other far guessed italy france country year world best restaurant,4,Entertainment,0.8555,Positive
A brief history of the Times Square New Year’s Eve ball drop,last day year become ritual large crowd gather brightly lit chaos new york time square ring new beginning p dazzling ball descends pole attendee million people tuning home count stroke midnight crowd erupts cacophony sound often pulling loved one ceremonial kiss,A brief history of the Times Square New Year’s Eve ball drop last day year become ritual large crowd gather brightly lit chaos new york time square ring new beginning p dazzling ball descends pole attendee million people tuning home count stroke midnight crowd erupts cacophony sound often pulling loved one ceremonial kiss,4,Entertainment,0.5267,Positive
In photos: The angsty era of emo music,cnn sun setting badlands amy fleisher madden squint camera viewfinder searching amidst red rock prairie grass figure wearing head toe black,In photos: The angsty era of emo music cnn sun setting badlands amy fleisher madden squint camera viewfinder searching amidst red rock prairie grass figure wearing head toe black,1,Cultural,0.0,Neutral
The secret history of the world’s most popular tarot cards,article british artist illustrator costume designer pamela colman smith shared thought painting viewed learn everything see everything feel everything find eye within look door unknown country,The secret history of the world’s most popular tarot cards article british artist illustrator costume designer pamela colman smith shared thought painting viewed learn everything see everything feel everything find eye within look door unknown country,4,Entertainment,0.6697,Positive
Look of the week: The hidden meaning behind this royal scarf,part matching pajama family twee tradition christmas morning coordination recently become kind visual shorthand allowing internet infer kind notion inner working stranger clan come matching pjs family relate read one post x wish family matching pjs type family chimed another,Look of the week: The hidden meaning behind this royal scarf part matching pajama family twee tradition christmas morning coordination recently become kind visual shorthand allowing internet infer kind notion inner working stranger clan come matching pjs family relate read one post x wish family matching pjs type family chimed another,4,Entertainment,0.8591,Positive
How leggings became a multibillion-dollar industry,could predicted one derided sartorial mainstay decade never quite enjoyed style resurgence era bookended would multibillion dollar industry right end yet appears legging fact last laugh,How leggings became a multibillion-dollar industry could predicted one derided sartorial mainstay decade never quite enjoyed style resurgence era bookended would multibillion dollar industry right end yet appears legging fact last laugh,4,Entertainment,-0.0307,Negative
Inside the $760M restoration of Notre Dame cathedral,spire notre dame crowned brand new golden rooster regained place paris skyline last week,Inside the $760M restoration of Notre Dame cathedral spire notre dame crowned brand new golden rooster regained place paris skyline last week,4,Entertainment,0.0,Neutral
Billions of birds collide with glass buildings — but architecture has solutions,least bird killed one day early october collided single chicago building mccormick place lakeside center largest convention center north america paradigm architectural modernism lakeside centre built stage steel concrete glass behemoth,Billions of birds collide with glass buildings — but architecture has solutions least bird killed one day early october collided single chicago building mccormick place lakeside center largest convention center north america paradigm architectural modernism lakeside centre built stage steel concrete glass behemoth,4,Entertainment,-0.7469,Negative
‘Lost’ ancient Roman palace reopens after 50 years of neglect,year neglect rome lost imperial palace domus tiberiana reopened open air museum,‘Lost’ ancient Roman palace reopens after 50 years of neglect year neglect rome lost imperial palace domus tiberiana reopened open air museum,0,Global Conflicts,-0.8074,Negative
‘Headquarters of the future’: Plans for Chinese tech firm Tencent’s vast new campus unveiled,architect behind chinese tech giant tencent vast new campus unveiled plan site thursday describing helix inspired centerpiece headquarters future,‘Headquarters of the future’: Plans for Chinese tech firm Tencent’s vast new campus unveiled architect behind chinese tech giant tencent vast new campus unveiled plan site thursday describing helix inspired centerpiece headquarters future,3,Business,0.4939,Positive
"The top interior designers and architects to look out for in 2024, according to Architectural Digest",three decade architectural digest curating annual list influential people interior decoration architecture landscape design newly revealed edition lapse talent,"The top interior designers and architects to look out for in 2024, according to Architectural Digest three decade architectural digest curating annual list influential people interior decoration architecture landscape design newly revealed edition lapse talent",4,Entertainment,0.7579,Positive
CNN Heroes 2023 Voting Disclosures,final round judging done online viewer vote conducted www cnnheroes com viewer chance vote online poll finalist whose accomplishment impact story best exemplifies cnn hero voting cnn hero year begin november et continues tuesday december pm pt,CNN Heroes 2023 Voting Disclosures final round judging done online viewer vote conducted www cnnheroes com viewer chance vote online poll finalist whose accomplishment impact story best exemplifies cnn hero voting cnn hero year begin november et continues tuesday december pm pt,4,Entertainment,0.9493,Positive
"2024 US presidential primaries, explained",american pick president november get pick candidate series primary caucus,"2024 US presidential primaries, explained american pick president november get pick candidate series primary caucus",2,Politics,0.0,Neutral
This may be Biden’s best hope of reversing his slide with Black and brown voters,president joe biden weakness poll among non white voter boosting republican hope gop poised extend important political breakthrough modern time potentially reshape competition two party along way,This may be Biden’s best hope of reversing his slide with Black and brown voters president joe biden weakness poll among non white voter boosting republican hope gop poised extend important political breakthrough modern time potentially reshape competition two party along way,2,Politics,0.9413,Positive
Why lab-grown diamond sales are surging,proposal season engagement rise factory made diamond sale,Why lab-grown diamond sales are surging proposal season engagement rise factory made diamond sale,3,Business,0.7783,Positive
The Chevrolet Corvette is officially going electric,general motor produce fully electric chevrolet corvette gm president mark reuss announced linkedin post monday morning,The Chevrolet Corvette is officially going electric general motor produce fully electric chevrolet corvette gm president mark reuss announced linkedin post monday morning,3,Business,0.0,Neutral
This social app prohibits edited photos to encourage users to be more authentic. It’s growing fast,scoot facebook instagram,This social app prohibits edited photos to encourage users to be more authentic. It’s growing fast scoot facebook instagram,3,Business,0.6444,Positive
"BMW reveals its new $120,000 electric flagship",electric vehicle need lot expensive battery often trended towards luxury electric car porsche mercedes audi hit market recent year bmw come electric car like ix new battery powered take brand new expensive sedan,"BMW reveals its new $120,000 electric flagship electric vehicle need lot expensive battery often trended towards luxury electric car porsche mercedes audi hit market recent year bmw come electric car like ix new battery powered take brand new expensive sedan",3,Business,0.4404,Positive
Opinion: The problem Joe Manchin highlighted is crucial for America’s future,took day democrat senate introduce approve billion climate change spending part inflation reduction act president joe biden expected sign shortly house pas clearing necessary red tape spend cent money building climate related project many case take year,Opinion: The problem Joe Manchin highlighted is crucial for America’s future took day democrat senate introduce approve billion climate change spending part inflation reduction act president joe biden expected sign shortly house pas clearing necessary red tape spend cent money building climate related project many case take year,3,Business,-0.4019,Negative
Opinion: The voters sent a message to Trump and Biden,arthur conan doyle story silver blaze sherlock holmes investigates disappearance famous racehorse tragic murder trainer police inspector asks detective point would wish draw attention,Opinion: The voters sent a message to Trump and Biden arthur conan doyle story silver blaze sherlock holmes investigates disappearance famous racehorse tragic murder trainer police inspector asks detective point would wish draw attention,4,Entertainment,-0.7184,Negative
"Opinion: We’re in a volatile, uncertain moment",late strategist u army war college popularized acronym vuca lens viewing world turmoil stand volatility uncertainty complexity ambiguity professor nate bennett g james lemoine wrote year later hey crazy,"Opinion: We’re in a volatile, uncertain moment late strategist u army war college popularized acronym vuca lens viewing world turmoil stand volatility uncertainty complexity ambiguity professor nate bennett g james lemoine wrote year later hey crazy",4,Entertainment,-0.8591,Negative
Opinion: Putin’s army without a cause,russian president vladimir putin ordered invasion ukraine february many questioned commitment troop cause strongly would fight neighboring nation longstanding tie shared history,Opinion: Putin’s army without a cause russian president vladimir putin ordered invasion ukraine february many questioned commitment troop cause strongly would fight neighboring nation longstanding tie shared history,2,Politics,0.4767,Positive
Opinion: An astonishing fall from grace,protester london angered cancellation cricket tour threw egg uk prime minister harold wilson leader labour party conservative party rival edward heath responded secret meeting secret tour nobody supposed know mean men perhaps woman country walking around egg pocket chance seeing prime minister,Opinion: An astonishing fall from grace protester london angered cancellation cricket tour threw egg uk prime minister harold wilson leader labour party conservative party rival edward heath responded secret meeting secret tour nobody supposed know mean men perhaps woman country walking around egg pocket chance seeing prime minister,2,Politics,0.7096,Positive
Opinion: Trumpism’s unlikely home base,age marjorie merriweather post inherited family cereal business helped turn leading food industry company astute proprietor knew entertain style post sported marie antoinette diamond earring party owned world largest private sailing yacht second husband e f hutton built spectacular red tile roofed villa palm beach,Opinion: Trumpism’s unlikely home base age marjorie merriweather post inherited family cereal business helped turn leading food industry company astute proprietor knew entertain style post sported marie antoinette diamond earring party owned world largest private sailing yacht second husband e f hutton built spectacular red tile roofed villa palm beach,4,Entertainment,0.7506,Positive
Opinion: Joe Biden’s Corvette challenge,rematch powell family awaiting six year,Opinion: Joe Biden’s Corvette challenge rematch powell family awaiting six year,4,Entertainment,0.0772,Positive
"Opinion: Alexander Hamilton, what happened?",one federalist essay urging new yorkers support newly drafted constitution alexander hamilton called judiciary weakest part government wrote always least dangerous political right constitution least capacity annoy injure,"Opinion: Alexander Hamilton, what happened? one federalist essay urging new yorkers support newly drafted constitution alexander hamilton called judiciary weakest part government wrote always least dangerous political right constitution least capacity annoy injure",2,Politics,-0.2373,Negative
Opinion: The thunderbolts we never saw coming,world chaos leaf u beyond word natural impulse search elsewhere case seek great thinker artist described chaos place chaos page wrote poet stanley moss chaos endless longing bob dylan wrote accept chaos sure whether accepts mary shelley espoused preface frankenstein modern prometheus invention must humbly admitted consist creating void chaos,Opinion: The thunderbolts we never saw coming world chaos leaf u beyond word natural impulse search elsewhere case seek great thinker artist described chaos place chaos page wrote poet stanley moss chaos endless longing bob dylan wrote accept chaos sure whether accepts mary shelley espoused preface frankenstein modern prometheus invention must humbly admitted consist creating void chaos,4,Entertainment,-0.836,Negative
